"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://knightlogics.com/?openPackage=website-search-foundation","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-advanced-system","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-advanced-system","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-live-plus","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-live-plus","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-preview-launch","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=website-preview-launch","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-preview-catalog","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ecommerce-preview-catalog","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-automated-job-records","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-automated-job-records","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-contractor-crm-starter","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-contractor-crm-starter","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-full-growth-system","https://knightlogics.com/pricing","140370","","Explore Growth Systems","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[3]/article[4]/a","Content","HTML"
"Hyperlink","https://knightlogics.com/?openPackage=ops-full-growth-system","https://knightlogics.com/pricing","140370","","View Full Pricing & Add-Ons →","200","OK","true","","","Root-Relative","//body/section[@id='starter-packages']/div[@class='container']/div/div[4]/a","Content","HTML"
"Meta Refresh Redirect","https://knightlogics.com/pricing","https://knightlogics.com/pricing","140370","","","200","OK","true","","","Absolute","//head/meta[7]","Head","HTML"
"HTML Canonical","https://knightlogics.com/pricing","https://knightlogics.com/pricing","140370","","","200","OK","true","","","Absolute","//head/link[1]","Head","HTML"
