"Site Crawled","https://knightlogics.com/"
"Start Date","2026-05-11"
"Start Time","23:30:52"
"Last Modified Date","2026-05-11"
"Last Modified Time","23:31:03"
"Elapsed","00:00:10"
"Report Date","2026-05-11"
"Report Time","23:31:03"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Rich Result Validation Warnings","0","0.00%","41","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","41","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","41","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","41","100.00%","41","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","41","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","41","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","41","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","41","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","41","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","41","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","41","Internal HTML/XML pages"
""
"PageSpeed"
"All","41","100.00%","41","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","41","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","41","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","41","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","41","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","41","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","41","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","41","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","41","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","41","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","41","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","41","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","41","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","41","100.00%","41",""
"Viewport Not Set","0","0.00%","41",""
"Target Size","0","0.00%","41",""
"Content Not Sized Correctly","0","0.00%","41",""
"Illegible Font Size","0","0.00%","41",""
"Contains Unsupported Plugins","0","0.00%","41",""
"Mobile Alternate Link","0","0.00%","41",""
""
"Accessibility"
"All","41","100.00%","41",""
"Accessibility Score Poor","0","0.00%","41",""
"Accessibility Score Needs Improvement","0","0.00%","41",""
"Accessibility Score Good","0","0.00%","41",""
"WCAG 2.0 A Violation","0","0.00%","41",""
"WCAG 2.0 AA Violation","0","0.00%","41",""
"WCAG 2.0 AAA Violation","0","0.00%","41",""
"WCAG 2.1 AA Violation","0","0.00%","41",""
"WCAG 2.2 AA Violation","0","0.00%","41",""
"Best Practice Violation","0","0.00%","41",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","41",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","41",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","41",""
"Scrollable Region Requires Keyboard Access","0","0.00%","41",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","41",""
"Required ARIA Attributes Must Be Provided","0","0.00%","41",""
"Role=text Should Have No Focusable Descendants","0","0.00%","41",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","41",""
"ARIA Attributes Require Valid Values","0","0.00%","41",""
"ARIA Attributes Require Valid Names","0","0.00%","41",""
"ARIA Commands Require Accessible Name","0","0.00%","41",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","41",""
"ARIA Input Fields Require Accessible Name","0","0.00%","41",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","41",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","41",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","41",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","41",""
"ARIA Roles Require Valid Values","0","0.00%","41",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","41",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","41",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","41",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","41",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","41",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","41",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","41",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","41",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","41",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","41",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","41",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","41",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","41",""
"Page Requires One Main Landmark","0","0.00%","41",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","41",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","41",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","41",""
"Page Requires At Most One Main Landmark","0","0.00%","41",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","41",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","41",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","41",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","41",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","41",""
"Form <input> Elements Require Labels","0","0.00%","41",""
"Form Elements Should Have Visible Label","0","0.00%","41",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","41",""
"Frames Require Title Attribute","0","0.00%","41",""
"Frames Require Unique Title Attribute","0","0.00%","41",""
"Frames Should Be Tested With axe-core","0","0.00%","41",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","41",""
"Page Must Contain <title>","0","0.00%","41",""
"Page Must Contain <h1>","0","0.00%","41",""
"Heading Levels Should Only Increase By One","0","0.00%","41",""
"Headings Should Not Be Empty","0","0.00%","41",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","41",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","41",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","41",""
"HTML Element Requires Lang Attribute","0","0.00%","41",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","41",""
"Lang Attribute Requires Valid Value","0","0.00%","41",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","41",""
"Timed Meta Refresh Must Not Exist","0","0.00%","41",""
"Image Button Requires Alternate Text","0","0.00%","41",""
"Images Require Alternate Text","0","0.00%","41",""
"<object> Elements Require Alternate Text","0","0.00%","41",""
"Active <area> Elements Require Alternate Text","0","0.00%","41",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","41",""
"Elements Marked role=img Require Alternate Text","0","0.00%","41",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","41",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","41",""
"<video> Elements Require <track> For Captions","0","0.00%","41",""
